2022-05-23 11:51:34.899498,50,victor
2022-05-23 11:51:34.900840,-50,victor
2022-05-23 11:52:29.164916,1,victor
2022-05-23 11:52:29.167699,-1,victor
2022-05-23 11:55:27.304051,2,victor
2022-05-23 11:55:27.307322,-2,victor
2022-05-23 11:56:10.661086,3,victor
2022-05-23 11:56:10.664871,-3,victor
2022-05-23 11:56:17.914610,5,victor
2022-05-23 11:56:17.917400,-5,victor
2022-05-23 11:56:39.339474,6,victor
2022-05-23 11:56:39.342230,-6,victor
2022-05-23 16:59:33.956021,1,victor
2022-05-23 16:59:33.965834,-1,victor
2022-05-27 17:10:43.684984,666,victor
2022-05-27 19:10:43.689152,-666,victor
2022-05-27 17:11:18.823749,1,victor
2022-05-27 19:11:18.828147,-1,victor
2022-05-27 17:11:40.450923,1,victor
2022-05-27 19:11:40.455030,-1,victor
2022-05-27 17:12:28.792694,1,victor
2022-05-27 19:12:28.796773,-1,victor
